,0,urlPath
449,Pinus strobus :: Eastern white pine,1074
450,Acer circinatum :: Vine Maple,45
451,Populus trichocarpa :: Black Cottonwood Poplar,1138
452,Malus floribunda 'Prairie Fire' :: Prairie Fire Crabapple Tree,912
453,Magnolia x alba :: White Champaca,1499
454,Leptospermum petersonii :: Lemon Scented Tea Tree,807
455,Livistona chinensis :: Chinese fan palm,829
456,Cornus florida :: Eastern Dogwood,396
457,Platanus occidentalis :: American sycamore,1104
458,Pinus sylvestris :: Scots Pine,1078
459,Fraxinus velutina :: Modesto Ash,643
460,Eucalyptus odorata :: Peppermint Box,0
461,Acer platanoides :: Norway Maple,78
462,Citrus × limon 'Lisbon' :: Lisbon Lemon Tree,364
463,Quercus alba :: White oak,1228
464,Acer negundo :: Box Elder,60
465,Caryota maxima 'Himalaya' :: Himalayan Fishtail Palm,0
466,Acer pseudoplatanus :: Sycamore Maple,98
467,Ulmus propinqua 'Emerald Sunshine' :: Emerald Sunshine Elm,1612
468,Paulownia fortunei :: Dragon tree,0
469,Prunus serrulata 'Double Pink Weeping' :: Weeping Double Pink Flowering Cherry,1518
470,Lagerstroemia indica 'Tuscarora' :: Tuscarora Crape Myrtle,790
471,Phoenix roebelenii :: Pigmy Date Palm,1004
472,Acer platanoides 'Crimson King' :: Norway maple,83
473,Citrus aurantifolia 'Bearss' :: Seedless Lime,360
474,Brachychiton populneus :: Bottle Tree,214
475,Escallonia bifida :: White escallonia,523
476,Hakea laurina :: Sea Urchin Tree,683
477,Chamaecyparis species ::,0
478,Yucca aloifolia :: Spanish bayonet,0
479,Ficus carica 'Black Mission' :: Black Mission Fig,604
480,Butia capitata :: Pindo Palm,229
481,Pinus thunbergii 'Thunderhead' :: Thunderhead Pine,1081
482,Prunus subhirtella 'autumnalis' :: Higan Cherry,1185
483,Prunus x 'Amanogawa' :: Flowering Cherry,1181
484,Pyrus calleryana 'Cleveland' :: Ornamental Pear Tree 'Cleveland',0
485,Fraxinus holotricha :: Holotricha Ash,0
486,Ulmus parvifolia 'True Green' :: True Green Chinese Elm,1442
487,New Zealand Tea Tree :: New Zealand Tea Tree,1496
488,Melia azerdarach :: Chinaberry,935
489,Alnus rubra :: Red Alder,153
490,Viburnum odoratissimum var. awabuki :: Sweet viburnum,1456
491,Eucalyptus simmondsi :: Simmond's Peppermint,0
492,Quercus douglasii :: Blue Oak,1234
493,Acer ginnela :: Amur Maple,49
494,Radermachera sinica :: China Doll Tree,1712
495,Auranticarpa rhombifolia :: Queensland Pittosporum,1094
496,Juglans californica :: Walnut: Black (s.calif),1504
